행정동_코드,행정동_코드_명,총_점포_수_합계,2024년_총_유동인구_합계,2024년_총_상주인구_합계,영역_면적,월_평균_소득_금액,지출_총금액,식료품_지출_총금액,음식_지출_총금액,집객_지수
11140605,을지로동,3045,19695121,12832,611524,12330056,396852077000,3476101000,12674375000,0.2361451341473062
11140615,신당동,1483,21905681,29540,534942,11267400,15611747000,2592249000,6318560000,0.1513570588065624
11140625,다산동,864,16501185,52884,523971,10719380,9815426000,2141627000,4079254000,0.1278079785075537
11140635,약수동,620,8036668,64344,486369,15579512,7421314000,3030953000,1839736000,0.1325077077229955
11140645,청구동,388,13038804,51820,342571,14264964,4106952000,939981000,1129546000,0.0372830547633986
11140650,신당5동,1035,13501708,40604,319706,12111916,7865000000,1415457000,3241526000,0.0940354643689681
11140665,동화동,488,14812156,39764,327045,14485396,4622221000,1572140000,1233398000,0.059200597801865
11140670,황학동,1379,22904481,50740,328640,12991360,12009583000,3104840000,4084982000,0.1108428691087736
11140680,중림동,841,7562181,48568,484384,17743752,8431862000,1576877000,3002559000,0.1161115913057988
11170510,후암동,1016,15833675,64080,865892,12054708,6463774000,2625637000,2233857000,0.123043994018723
11170520,용산2가동,1172,18566909,35464,1966853,10161276,363783442000,358915404000,3926828000,0.0994367793926824
11170530,남영동,1964,7952853,27276,1177788,12732364,134190809000,5283889000,9175842000,0.2429134549351439
11170555,청파동,1671,30292145,75368,886225,10435216,9189286000,2354011000,4106947000,0.2180624903250032
11170560,원효로1동,1305,19729625,67824,589017,17802780,8229612000,1414463000,3357485000,0.1542561304903751
11170570,원효로2동,523,15905855,54504,708975,15268104,3160997000,747871000,916432000,0.1088418587458781
11170580,효창동,242,14659048,42660,446197,14092804,2732673000,1190917000,502930000,0.1010053257917319
11170590,용문동,630,10213905,45520,277531,14275640,4065315000,1796519000,1231501000,0.0799728849368533
11170625,한강로동,4580,22864646,83908,2869816,19793376,86990909000,9472390000,34149995000,0.4148966274631138
11170630,이촌1동,733,18169716,99732,2872767,23897164,7806275000,2096285000,2275108000,0.1598051514154851
11170640,이촌2동,241,6379195,31480,1205543,14384332,1254244000,653385000,383833000,0.0264893850873904
11170650,이태원1동,2700,10255051,24060,582899,14731784,24739212000,2299993000,13963809000,0.1055820298796505
11170660,이태원2동,1275,11747704,34628,874243,13044076,5568331000,1350382000,2123828000,0.0912817688469407
11170685,한남동,3050,18666821,70844,3031897,17524352,34092649000,4078877000,12313546000,0.290397940060931
11170690,서빙고동,320,7079022,49772,2821948,16834248,4551937000,1084221000,1294625000,0.092068556376649
11170700,보광동,773,11719192,44536,715096,10182612,3073821000,982145000,1009109000,0.1050000924707859
11200520,왕십리2동,530,17490646,63896,372425,13899976,5977523000,1278020000,1166863000,0.0935435047322369
11200535,왕십리도선동,1875,22026090,104724,710285,16060524,23059874000,4365081000,6605500000,0.3139861533397242
11200540,마장동,942,20559845,86224,1035276,12087868,12245972000,5651109000,2309323000,0.1820637754972044
11200550,사근동,1460,16555913,47744,1169216,12398456,17196370000,3569272000,7952063000,0.2223757932847065
11200560,행당1동,1264,22158361,54516,573566,15603364,21669265000,2695343000,8187029000,0.2156871333758514
11200570,행당2동,266,18345124,91404,457669,17634976,4790659000,1429632000,831496000,0.1239301224950194
11200580,응봉동,179,11777763,59760,553662,15433888,1436633000,621712000,331247000,0.0877211768260264
11200590,금호1가동,328,12753029,59000,444872,16040044,3977911000,1212399000,651911000,0.1504932660818564
11200615,금호2·3가동,1030,25510464,87784,631196,15005736,7620632000,2786584000,1838803000,0.2317990351879223
11200620,금호4가동,511,12049540,56568,832333,17768576,8532778000,3203749000,1203282000,0.134483755143893
